siteID,siteLabel,siteConnectionString,LanNo,theLabel,NodeAddress,theLabel,outPin,deviCeResponse,nodeIpAddr,TimeMasterStatus
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,9,9,1236,?,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,0,0,11,11,1236,?,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,0,0,12,12,1236,?,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,43,INC,56,Cooling Towers OS56,1236,IQ4E96 Iss4.33 Oct 12 2021,172.16.4.90,1
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,0,0,1236,?,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,41,INC,25,HECTOR OS25,1236,IQ4E96 Iss4.32 Feb 26 2021,172.16.4.6,1
2,ACF Bush Estate,IP172.16.4.22,41,INC,26,HECTOR OS26,1236,IQ4E96 Iss4.33 Oct 12 2021,172.16.4.7,1
2,ACF Bush Estate,IP172.16.4.22,41,INC,24,HECTOR OS24,1236,IQ4E96 Iss4.20 Aug 21 2019,172.16.4.5,1
2,ACF Bush Estate,IP172.16.4.22,41,INC,1,IQView,1236,0,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,6,963 v3.62,1236,0,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,7,7,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,8,8,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,41,INC,126,INC,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,41,INC,103,963 v3.73,1236,0,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,41,INC,102,102,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,41,INC,101,963 v3.50,1236,0,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),126,EINC (Archer),1236,EINC V4.20 18/02/2003,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),1,IQView,1236,0,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,43,INC,126,INC,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,43,INC,1,IQView,1236,0,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,126,HECTOR EINC,1236,EINC V4.20 18/02/2003,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,34,CCU14,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,33,CCU13,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,0
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,32,CCU12HUM,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,31,CCU11,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,5,5,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,30,CCU10,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,29,CCU09HUM,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,28,CCU08,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,27,CCU07,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),5,No Reply,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),22,CCU02,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),23,CCU03,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),24,CCU04,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),25,CCU05,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),26,CCU06,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),27,CCU07,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),28,CCU08,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),29,CCU09,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),30,CCU10,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),31,CCU11,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,42,HECTOR EINC,1,1,1236,?,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,43,INC,51,Archer OS51,1236,IQ4E128 Iss4.33 Oct 12 2021,172.16.4.80,2
2,ACF Bush Estate,IP172.16.4.22,43,INC,52,Archer OS52,1236,IQ4E96 Iss4.33 Oct 12 2021,172.16.4.81,1
2,ACF Bush Estate,IP172.16.4.22,43,INC,53,Archer OS53,1236,IQ4E96 Iss4.33 Oct 12 2021,172.16.4.82,1
2,ACF Bush Estate,IP172.16.4.22,43,INC,54,Archer OS54,1236,IQ4E96 Iss4.33 Oct 12 2021,172.16.4.83,1
2,ACF Bush Estate,IP172.16.4.22,43,INC,55,IQView8,1236,0,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,43,INC,101,101,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,49,vIQ Lan,119,119,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,49,vIQ Lan,126,vIQ Lan,1236,VirtualIQ v1.03 Feb 12,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,40,INC,1,IQView,1236,0,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,40,INC,5,5,1236,No Reply,#N/A#,3
